online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type)
No,No,3.1/5,46,Cunningham Road,Casual Dining,"Asian, Continental","1,000",Buffet
No,No,3.8/5,23,Infantry Road,Casual Dining,"North Indian, South Indian, Chinese, Fast Food",800,Buffet
No,Yes,3.9/5,158,Cunningham Road,Casual Dining,"North Indian, South Indian, Italian, Continental","1,100",Buffet
No,Yes,3.8/5,52,Infantry Road,Casual Dining,"Continental, South Indian, North Indian, Asian","1,100",Buffet
No,No,3.3/5,13,Vasanth Nagar,Casual Dining,"North Indian, Continental, South Indian",600,Buffet
No,No,3.9/5,62,Frazer Town,Cafe,"Cafe, Continental, Beverages, Fast Food","1,100",Cafes
Yes,No,3.7/5,40,Frazer Town,Cafe,"Cafe, Fast Food",350,Cafes
No,No,4.1/5,147,Frazer Town,"Quick Bites, Bakery","Cafe, Bakery",700,Cafes
Yes,No,3.8/5,362,Frazer Town,Cafe,"Cafe, Continental",700,Cafes
Yes,No,,0,Frazer Town,Cafe,Cafe,400,Cafes
Yes,No,3.1/5,31,Frazer Town,Cafe,"Cafe, Fast Food",900,Cafes
Yes,No,3.7/5,21,Frazer Town,Cafe,Cafe,450,Cafes
Yes,No,4.1/5,252,Frazer Town,"Bakery, Cafe","Bakery, Cafe",350,Cafes
No,No,2.9/5,45,Frazer Town,Cafe,"Cafe, Continental",600,Cafes
No,No,NEW,0,Commercial Street,"Dessert Parlor, Cafe","Desserts, Cafe",600,Cafes
Yes,No,3.4/5,9,Shivajinagar,Cafe,Cafe,300,Cafes
No,No,3.5/5,6,Commercial Street,Cafe,"Cafe, Desserts",700,Cafes
No,No,3.7/5,11,Shivajinagar,Cafe,Cafe,50,Cafes
Yes,No,,0,Shivajinagar,"Cafe, Bakery","Cafe, Bakery",400,Cafes
Yes,No,3.3/5,6,Commercial Street,Cafe,Cafe,400,Cafes
Yes,Yes,4.7/5,4678,Cunningham Road,"Pub, Cafe","North Indian, Thai, Japanese, Continental, Cafe","1,300",Cafes
Yes,Yes,4.3/5,2671,MG Road,Cafe,"Cafe, Continental, Italian, Burger","1,200",Cafes
No,No,4.0/5,25,Vasanth Nagar,"Cafe, Dessert Parlor","Cafe, Desserts, Beverages","1,100",Cafes
Yes,No,4.3/5,654,Cunningham Road,"Cafe, Dessert Parlor","Cafe, Desserts",750,Cafes
No,No,4.2/5,164,Ulsoor,Cafe,"Cafe, Salad, Desserts, Pizza",750,Cafes
Yes,No,4.3/5,570,Ulsoor,Cafe,"Cafe, Continental, Italian, Burger, Beverages",700,Cafes
Yes,No,4.1/5,153,Vasanth Nagar,Cafe,"Cafe, Italian",300,Cafes
Yes,Yes,4.3/5,860,Cunningham Road,"Casual Dining, Cafe","Continental, Cafe, Desserts, Salad, Momos","1,000",Cafes
Yes,No,4.2/5,740,Cunningham Road,Cafe,"Cafe, Continental, Italian, Burger",750,Cafes
Yes,No,3.9/5,462,Ulsoor,"Cafe, Casual Dining","Cafe, American, Continental, Steak",800,Cafes
Yes,Yes,4.1/5,1852,Ulsoor,Cafe,"Cafe, Italian, Burger, American, Steak",650,Cafes
Yes,No,4.3/5,1133,Infantry Road,Cafe,"Cafe, Fast Food, Burger",800,Cafes
Yes,No,3.6/5,95,Infantry Road,"Cafe, Casual Dining","Cafe, Burger, Italian, Fast Food",650,Cafes
No,No,4.0/5,47,Ulsoor,Cafe,"Cafe, Italian, Coffee",750,Cafes
Yes,No,3.7/5,66,Ulsoor,Cafe,"Cafe, Mediterranean, Italian, Pizza, Continental",800,Cafes
Yes,No,4.2/5,432,Ulsoor,"Cafe, Bakery","Cafe, Mediterranean, Bakery, Greek, Beverages",700,Cafes
No,No,4.2/5,115,Ulsoor,"Casual Dining, Cafe","Lebanese, Mediterranean, Cafe","1,000",Cafes
Yes,No,4.2/5,255,Vasanth Nagar,Cafe,"Cafe, Continental, Fast Food",500,Cafes
Yes,No,4.2/5,382,Ulsoor,Cafe,"Pizza, Italian, Cafe, Burger, Finger Food, Fast Food, Sandwich",500,Cafes
No,No,3.8/5,22,MG Road,"Beverage Shop, Quick Bites","Beverages, Cafe, Juices, Fast Food",350,Cafes
No,Yes,3.9/5,315,MG Road,Cafe,"Cafe, Continental, Italian",800,Cafes
Yes,No,3.8/5,37,Ulsoor,Casual Dining,"Beverages, Cafe, Desserts, Spanish, Bakery",400,Cafes
No,Yes,3.8/5,25,Ulsoor,Cafe,"Cafe, North Indian, Fast Food","2,200",Cafes
No,No,3.4/5,10,Banaswadi,Cafe,"Cafe, Continental",400,Cafes
Yes,No,3.5/5,20,Cunningham Road,Cafe,"Cafe, Burger",500,Cafes
No,No,4.0/5,44,Vasanth Nagar,Cafe,"Cafe, Modern Indian, Pizza, Burger, Desserts","1,100",Cafes
Yes,No,3.8/5,96,Ulsoor,Cafe,"Cafe, Continental, Salad",600,Cafes
No,No,3.9/5,61,Banaswadi,Cafe,"Cafe, Fast Food",450,Cafes
Yes,No,3.8/5,18,Koramangala 5th Block,Cafe,Cafe,500,Cafes
No,No,,0,Cunningham Road,Cafe,Cafe,"1,000",Cafes
No,No,3.1/5,10,MG Road,Cafe,Cafe,400,Cafes
Yes,No,4.5/5,857,Indiranagar,Delivery,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",500,Delivery
Yes,No,3.6/5,531,North Bangalore,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450,Delivery
Yes,No,4.3/5,285,St. Marks Road,Quick Bites,"Burger, Turkish, Arabian, Fast Food, Salad, Healthy Food, Desserts",500,Delivery
Yes,No,3.1/5,48,Indiranagar,Delivery,"North Indian, Chinese, Italian",500,Delivery
Yes,No,4.0/5,1393,Indiranagar,Quick Bites,"Burger, Fast Food, Beverages",600,Delivery
Yes,No,4.0/5,2692,RT Nagar,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750,Delivery
Yes,No,4.1/5,474,Indiranagar,Quick Bites,Biryani,300,Delivery
Yes,No,3.7/5,117,Kammanahalli,Quick Bites,Arabian,300,Delivery
Yes,No,3.7/5,154,RT Nagar,Casual Dining,North Indian,600,Delivery
Yes,No,4.4/5,1413,Kammanahalli,Quick Bites,"Middle Eastern, Fast Food, Rolls",300,Delivery
Yes,No,3.3/5,111,Ulsoor,Quick Bites,"North Indian, Chinese",300,Delivery
Yes,No,3.9/5,169,Frazer Town,Quick Bites,"North Indian, Mughlai, Rolls, Fast Food",600,Delivery
Yes,No,2.8/5,76,RT Nagar,Delivery,"North Indian, Chinese",300,Delivery
Yes,No,4.2/5,128,Vasanth Nagar,Delivery,Biryani,650,Delivery
Yes,No,3.9/5,58,Indiranagar,Delivery,"Mexican, Italian",600,Delivery
Yes,No,3.3/5,73,Ulsoor,Quick Bites,"North Indian, Chinese, South Indian",350,Delivery
Yes,No,3.4/5,71,Vasanth Nagar,"Takeaway, Delivery",North Indian,200,Delivery
Yes,No,3.9/5,28,Nagawara,Quick Bites,South Indian,200,Delivery
Yes,No,3.8/5,61,Jeevan Bhima Nagar,Quick Bites,North Indian,400,Delivery
Yes,No,4.0/5,1074,Indiranagar,Quick Bites,"Fast Food, Rolls",350,Delivery
Yes,No,3.4/5,12,Kammanahalli,Quick Bites,"Seafood, BBQ, Burger, Biryani",300,Delivery
Yes,No,3.3/5,238,RT Nagar,Quick Bites,"North Indian, Chinese",400,Delivery
Yes,No,3.0/5,11,Indiranagar,"Takeaway, Delivery",Biryani,600,Delivery
Yes,No,3.9/5,418,Kammanahalli,Casual Dining,"Seafood, Biryani, South Indian, North Indian, Chinese, Arabian, Kerala",800,Delivery
Yes,No,3.8/5,97,Vasanth Nagar,Delivery,Pizza,750,Delivery
Yes,No,3.8/5,89,Frazer Town,Quick Bites,"Fast Food, Rolls, Momos",250,Delivery
Yes,No,2.9/5,119,Kammanahalli,"Takeaway, Delivery","Biryani, Kebab, Continental",500,Delivery
Yes,Yes,4.2/5,1751,Indiranagar,Casual Dining,"Biryani, Chinese, North Indian, Seafood",750,Delivery
Yes,No,4.1/5,3248,Indiranagar,Casual Dining,"Biryani, North Indian, Kebab",800,Delivery
Yes,Yes,4.4/5,691,Indiranagar,Casual Dining,"Seafood, Mangalorean","1,000",Delivery
Yes,No,3.3/5,70,Residency Road,Quick Bites,Biryani,400,Delivery
Yes,No,3.8/5,104,Vasanth Nagar,Delivery,"North Indian, Biryani, Fast Food",500,Delivery
Yes,No,3.3/5,73,Old Madras Road,Delivery,"Pizza, Chinese, Rolls",750,Delivery
Yes,No,3.5/5,56,Brigade Road,Quick Bites,"South Indian, Chinese",150,Delivery
Yes,No,3.5/5,39,Kammanahalli,Quick Bites,"Arabian, Chinese, North Indian",500,Delivery
Yes,No,2.7/5,67,Old Madras Road,Quick Bites,"Arabian, Mughlai, Chinese, Kebab, Fast Food",400,Delivery
Yes,No,4.0/5,1080,Brigade Road,"Quick Bites, Dessert Parlor","Burger, Desserts, Fast Food",550,Delivery
Yes,No,3.0/5,58,Frazer Town,"Takeaway, Delivery","North Indian, Chinese, Rolls",400,Delivery
Yes,No,3.7/5,80,Ulsoor,Quick Bites,Arabian,300,Delivery
Yes,No,3.6/5,11,Indiranagar,"Takeaway, Delivery","Italian, North Indian, Biryani",500,Delivery
Yes,No,3.5/5,57,Vasanth Nagar,Quick Bites,"Chinese, North Indian",150,Delivery
Yes,No,4.1/5,735,Indiranagar,Casual Dining,North Indian,950,Delivery
Yes,No,3.1/5,30,Hennur,Quick Bites,"North Indian, Chinese",300,Delivery
Yes,No,3.6/5,206,Cunningham Road,Quick Bites,"Burger, Fast Food",400,Delivery
Yes,No,4.1/5,389,Indiranagar,Quick Bites,"Mexican, American, Fast Food",600,Delivery
Yes,No,4.4/5,635,Residency Road,Dessert Parlor,"Ice Cream, Desserts",400,Delivery
Yes,No,4.3/5,331,Hennur,Quick Bites,"Burger, Fast Food",300,Delivery
Yes,No,4.1/5,1447,Frazer Town,Casual Dining,"Arabian, North Indian, Chinese, Beverages",800,Delivery
Yes,No,3.9/5,104,Ulsoor,Quick Bites,North Indian,150,Delivery
Yes,No,4.1/5,58,Indiranagar,"Sweet Shop, Quick Bites","Mithai, Street Food",200,Delivery
Yes,No,3.6/5,113,Nagawara,Quick Bites,"North Indian, Chinese, Arabian, Biryani, Rolls",450,Delivery
Yes,No,3.3/5,302,Frazer Town,Casual Dining,"Pizza, Fast Food",750,Delivery
Yes,No,4.1/5,205,Ulsoor,Quick Bites,"South Indian, North Indian, Chinese, Juices",250,Delivery
Yes,No,3.7/5,75,Frazer Town,Quick Bites,North Indian,300,Delivery
Yes,Yes,4.4/5,2867,Frazer Town,Casual Dining,"Arabian, North Indian, Beverages",750,Delivery
Yes,No,3.7/5,89,Frazer Town,Quick Bites,"Mughlai, North Indian, Chinese",400,Delivery
Yes,No,3.6/5,27,Vasanth Nagar,Quick Bites,Biryani,300,Delivery
Yes,No,3.6/5,21,Kammanahalli,Quick Bites,"Fast Food, Beverages",350,Delivery
Yes,No,3.6/5,79,Ulsoor,Quick Bites,"North Indian, South Indian",300,Delivery
Yes,No,3.8/5,229,Frazer Town,Casual Dining,"North Indian, Chinese",500,Delivery
Yes,No,3.5/5,24,Ulsoor,Quick Bites,"Kerala, North Indian, Chinese",300,Delivery
Yes,No,3.7/5,93,Kammanahalli,Quick Bites,"Kerala, South Indian",400,Delivery
Yes,No,3.7/5,30,Kammanahalli,Kiosk,Arabian,150,Delivery
Yes,No,4.0/5,154,Indiranagar,Casual Dining,"North Indian, Chinese, Seafood",700,Delivery
Yes,No,2.6/5,227,Banaswadi,Quick Bites,"Italian, Pizza",600,Delivery
Yes,No,,0,Banaswadi,Delivery,"Healthy Food, Continental, North Indian, Chinese",500,Delivery
Yes,No,3.9/5,239,Indiranagar,Casual Dining,"North Indian, Chinese, Biryani, Kebab, Juices",800,Delivery
Yes,Yes,4.1/5,229,Kammanahalli,Casual Dining,"Konkan, Mangalorean, Seafood",550,Delivery
Yes,No,4.3/5,148,Ulsoor,Casual Dining,"Biryani, North Indian, Kebab",650,Delivery
Yes,No,3.9/5,58,RT Nagar,Sweet Shop,"Mithai, Street Food",400,Delivery
Yes,No,3.0/5,15,Kalyan Nagar,Quick Bites,"Biryani, Kebab",350,Delivery
Yes,Yes,3.1/5,59,St. Marks Road,Quick Bites,"Biryani, Chinese, Fast Food, North Indian",400,Delivery
Yes,No,3.9/5,186,Kammanahalli,Quick Bites,"Chinese, Momos",500,Delivery
Yes,Yes,4.3/5,378,Indiranagar,Casual Dining,"Thai, Asian, Indonesian","1,200",Delivery
Yes,No,3.7/5,42,Race Course Road,Casual Dining,"Chinese, South Indian, North Indian",900,Delivery
Yes,Yes,4.3/5,1434,Kammanahalli,Casual Dining,"Steak, Continental, Burger, American, BBQ, European, Salad","1,500",Delivery
Yes,No,4.1/5,298,Indiranagar,Casual Dining,"Chinese, North Indian, Kerala, Mangalorean, Seafood",800,Delivery
Yes,No,3.7/5,27,Kammanahalli,Quick Bites,"South Indian, North Indian, Chinese, Street Food, Juices",300,Delivery
Yes,No,4.2/5,975,Indiranagar,Casual Dining,"Chinese, Seafood","1,100",Delivery
Yes,No,3.2/5,9,MG Road,Delivery,"North Indian, BBQ, Biryani, Kebab",450,Delivery
Yes,No,4.2/5,382,Ulsoor,Cafe,"Pizza, Italian, Cafe, Burger, Finger Food, Fast Food, Sandwich",500,Delivery
Yes,Yes,4.3/5,765,Lavelle Road,Casual Dining,"Rajasthani, North Indian","1,400",Delivery
Yes,No,3.2/5,40,Lavelle Road,Beverage Shop,"Beverages, Fast Food",400,Delivery
Yes,Yes,4.1/5,1852,Ulsoor,Cafe,"Cafe, Italian, Burger, American, Steak",650,Delivery
Yes,No,3.6/5,68,RT Nagar,Casual Dining,"Biryani, South Indian, North Indian, Chinese",450,Delivery
Yes,No,4.9/5,1743,Brigade Road,Dessert Parlor,Desserts,400,Delivery
Yes,Yes,4.4/5,3657,Lavelle Road,"Casual Dining, Irani Cafee","Parsi, North Indian","1,300",Delivery
Yes,Yes,3.8/5,194,St. Marks Road,Casual Dining,"Biryani, Kerala, Seafood, South Indian",800,Delivery
Yes,No,NEW,0,Kalyan Nagar,Delivery,Biryani,500,Delivery
Yes,No,3.6/5,32,Frazer Town,Quick Bites,"North Indian, Mughlai",700,Delivery
Yes,No,4.0/5,265,Indiranagar,"Quick Bites, Beverage Shop","Continental, Beverages",700,Delivery
Yes,No,4.0/5,176,Ulsoor,Casual Dining,"Biryani, Kebab",750,Delivery
Yes,Yes,4.2/5,4734,Church Street,Casual Dining,"North Indian, Chinese, BBQ","1,500",Delivery
Yes,No,3.4/5,19,Ulsoor,Quick Bites,"North Indian, Chinese, Biryani",400,Delivery
Yes,No,3.6/5,54,Frazer Town,Casual Dining,"Chinese, Thai, Seafood",600,Delivery
Yes,No,3.9/5,190,Kammanahalli,Casual Dining,"Kerala, South Indian",600,Delivery
Yes,No,3.4/5,11,Kammanahalli,Quick Bites,South Indian,300,Delivery
Yes,No,3.8/5,127,Kammanahalli,Quick Bites,"Fast Food, Juices",400,Delivery
Yes,No,4.6/5,2496,Lavelle Road,Casual Dining,"European, Italian, Desserts, Salad, Juices, Steak","1,600",Delivery
Yes,No,3.8/5,44,Kammanahalli,Casual Dining,"North Indian, Chinese",600,Delivery
Yes,No,3.9/5,59,Indiranagar,Bakery,Bakery,500,Delivery
Yes,No,3.6/5,51,Indiranagar,Delivery,North Indian,500,Delivery
Yes,No,3.8/5,151,Banaswadi,Quick Bites,"Pizza, Italian",500,Delivery
Yes,No,,0,Frazer Town,Delivery,Biryani,500,Delivery
Yes,No,2.9/5,77,Banaswadi,Quick Bites,Pizza,400,Delivery
No,No,3.9/5,135,Frazer Town,Casual Dining,"Biryani, North Indian, Chinese",600,Delivery
Yes,No,3.7/5,24,Ulsoor,Quick Bites,"North Indian, Chinese",300,Delivery
Yes,No,4.1/5,198,Indiranagar,Casual Dining,"Seafood, South Indian, North Indian, Mangalorean, Chinese",650,Delivery
Yes,No,4.0/5,47,Richmond Road,Dessert Parlor,"Desserts, Beverages",300,Delivery
Yes,No,,0,Kammanahalli,Delivery,"American, Continental",200,Delivery
Yes,No,4.2/5,175,Commercial Street,Casual Dining,"Nepalese, Tibetan, Momos",800,Delivery
Yes,No,3.9/5,107,Lavelle Road,Quick Bites,"Salad, Fast Food",600,Delivery
Yes,Yes,4.5/5,1401,Church Street,"Casual Dining, Bar","Chinese, Momos","1,700",Delivery
Yes,Yes,4.3/5,2671,MG Road,Cafe,"Cafe, Continental, Italian, Burger","1,200",Delivery
Yes,Yes,4.7/5,4678,Cunningham Road,"Pub, Cafe","North Indian, Thai, Japanese, Continental, Cafe","1,300",Delivery
Yes,No,3.4/5,41,Ulsoor,Quick Bites,South Indian,100,Delivery
Yes,No,3.9/5,306,Frazer Town,Casual Dining,"Chinese, Thai, Momos",500,Delivery
Yes,No,3.9/5,132,Frazer Town,Quick Bites,"Arabian, Rolls, North Indian, BBQ",400,Delivery
Yes,No,4.1/5,77,Kammanahalli,"Takeaway, Delivery","Healthy Food, Desserts",500,Delivery
Yes,No,3.4/5,9,Kammanahalli,"Takeaway, Delivery","Fast Food, Desserts",250,Delivery
Yes,No,3.9/5,851,Frazer Town,Casual Dining,"Mughlai, North Indian, Chinese",700,Delivery
Yes,No,4.0/5,85,Residency Road,"Dessert Parlor, Quick Bites","Cafe, Fast Food, Desserts, Beverages",400,Delivery
Yes,No,4.2/5,5308,Indiranagar,"Bakery, Cafe","Bakery, Cafe, Italian, Desserts",600,Delivery
Yes,No,3.6/5,10,Frazer Town,Delivery,Mughlai,600,Delivery
Yes,Yes,4.3/5,397,Brigade Road,"Bar, Casual Dining","Finger Food, Continental, Pizza","1,600",Delivery
Yes,No,3.9/5,258,Indiranagar,Casual Dining,"North Indian, Chinese, South Indian",650,Delivery
Yes,No,4.3/5,570,Ulsoor,Cafe,"Cafe, Continental, Italian, Burger, Beverages",700,Delivery
Yes,No,,0,Ulsoor,Beverage Shop,"Beverages, Juices",200,Delivery
Yes,No,3.9/5,200,Indiranagar,Quick Bites,"South Indian, Biryani",400,Delivery
Yes,No,3.9/5,54,Commercial Street,"Beverage Shop, Dessert Parlor","Desserts, Beverages, Ice Cream",400,Delivery
Yes,No,4.0/5,29,BTM,Bakery,"Bakery, Desserts",500,Delivery
Yes,No,3.5/5,62,Frazer Town,Quick Bites,"Italian, Pizza",300,Delivery
Yes,No,3.1/5,112,Frazer Town,Casual Dining,Chinese,"1,000",Delivery
Yes,No,NEW,0,RT Nagar,Beverage Shop,"Beverages, Ice Cream",100,Delivery
Yes,Yes,4.3/5,2040,MG Road,Casual Dining,"Steak, Italian, Continental, American, Burger, BBQ, Salad","1,500",Delivery
Yes,No,4.0/5,90,Frazer Town,"Takeaway, Delivery","Fast Food, Burger, American",650,Delivery
Yes,Yes,4.5/5,1623,Cunningham Road,Casual Dining,"Italian, Pizza, Salad","1,300",Delivery
Yes,No,,0,Malleshwaram,Confectionery,Desserts,200,Delivery
Yes,No,3.9/5,443,Frazer Town,Casual Dining,"Biryani, North Indian, Mughlai",600,Delivery
Yes,Yes,4.4/5,1112,Church Street,"Casual Dining, Bar","Bengali, Seafood","1,200",Delivery
Yes,No,3.9/5,40,Kammanahalli,Quick Bites,"Burger, BBQ",550,Delivery
Yes,No,3.8/5,173,HBR Layout,Quick Bites,Biryani,300,Delivery
Yes,No,4.1/5,391,Cunningham Road,Casual Dining,"Chinese, Continental, North Indian, Mughlai, Steak",600,Delivery
Yes,Yes,4.1/5,617,Cunningham Road,Casual Dining,"Andhra, Biryani, Chinese, North Indian, Seafood, South Indian","1,100",Delivery
Yes,No,3.1/5,28,Brigade Road,Food Court,"Rolls, Lebanese",250,Delivery
Yes,No,3.6/5,16,Brigade Road,Casual Dining,"Mangalorean, Seafood, North Indian, Chinese",800,Delivery
Yes,No,3.9/5,67,Church Street,"Beverage Shop, Cafe","Cafe, Tea, North Indian",500,Delivery
Yes,No,3.9/5,24,HBR Layout,Quick Bites,"South Indian, North Indian, Chinese",300,Delivery
Yes,No,3.3/5,4,Frazer Town,Quick Bites,"Fast Food, Street Food",200,Delivery
Yes,No,4.2/5,227,Indiranagar,Casual Dining,Thai,800,Delivery
Yes,No,3.7/5,123,Brigade Road,"Food Court, Quick Bites","Tibetan, Momos",400,Delivery
Yes,No,,0,Frazer Town,Delivery,North Indian,500,Delivery
Yes,No,3.0/5,9,Frazer Town,Quick Bites,"Rolls, North Indian, Fast Food",500,Delivery
Yes,No,4.1/5,69,Frazer Town,Casual Dining,North Indian,700,Delivery
Yes,No,4.0/5,558,Indiranagar,Casual Dining,"North Indian, Chinese, South Indian",900,Delivery
Yes,No,4.3/5,116,St. Marks Road,Dessert Parlor,"Desserts, Ice Cream",400,Delivery
Yes,No,2.4/5,48,Kalyan Nagar,Quick Bites,"Fast Food, Burger, Pizza",450,Delivery
Yes,No,3.9/5,87,Ulsoor,Casual Dining,"North Indian, Chinese, Fast Food, Street Food",500,Delivery
Yes,No,3.5/5,41,Kammanahalli,Delivery,"American, Sandwich",600,Delivery
Yes,No,3.9/5,1838,Indiranagar,Casual Dining,"North Indian, Street Food",900,Delivery
Yes,No,4.4/5,216,Brigade Road,Food Court,"Desserts, Beverages",450,Delivery
Yes,No,3.6/5,41,Brigade Road,Casual Dining,Kerala,500,Delivery
Yes,No,3.8/5,62,St. Marks Road,Casual Dining,"South Indian, North Indian, Chinese",400,Delivery
Yes,No,3.6/5,76,Kammanahalli,Quick Bites,"Kerala, South Indian, North Indian, Chinese",450,Delivery
Yes,No,3.7/5,131,Indiranagar,Quick Bites,"South Indian, North Indian, Chinese",40,Delivery
Yes,No,4.0/5,209,Kammanahalli,Quick Bites,"Naga, Goan, Seafood, Chinese",550,Delivery
Yes,No,NEW,0,Ulsoor,"Takeaway, Delivery","Momos, Chinese",300,Delivery
Yes,No,2.9/5,17,Ulsoor,Dessert Parlor,"Ice Cream, Bakery, Desserts",200,Delivery
Yes,No,3.8/5,49,Kammanahalli,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300,Delivery
Yes,Yes,4.4/5,2230,Lavelle Road,"Fine Dining, Lounge","Japanese, Asian","3,000",Delivery
Yes,No,3.1/5,163,Church Street,Quick Bites,"Fast Food, Biryani, Rolls",350,Delivery
Yes,No,3.6/5,114,Kammanahalli,Quick Bites,"North Indian, Chinese, Kebab, Rolls",300,Delivery
Yes,No,4.1/5,382,Kammanahalli,Casual Dining,"Chinese, Malaysian",700,Delivery
Yes,No,4.0/5,73,Frazer Town,Bakery,Bakery,250,Delivery
Yes,No,3.3/5,14,Indiranagar,Quick Bites,Biryani,200,Delivery
Yes,No,4.3/5,184,Indiranagar,Quick Bites,"Cafe, Burger, Beverages",650,Delivery
Yes,No,2.7/5,283,Indiranagar,Casual Dining,Chinese,700,Delivery
Yes,No,,0,Brigade Road,"Food Court, Quick Bites","Pizza, Fast Food",400,Delivery
Yes,No,4.0/5,48,Indiranagar,Quick Bites,"Sandwich, Fast Food, Momos",200,Delivery
Yes,No,,0,Frazer Town,Delivery,North Indian,500,Delivery
Yes,No,3.9/5,194,Frazer Town,Casual Dining,"Chinese, Thai, Momos, Vietnamese",800,Delivery
Yes,No,4.0/5,289,Indiranagar,Dessert Parlor,Desserts,300,Delivery
Yes,No,3.4/5,334,Indiranagar,Casual Dining,"Andhra, South Indian, North Indian",550,Delivery
Yes,No,3.5/5,21,Indiranagar,Quick Bites,Andhra,500,Delivery
Yes,No,4.0/5,69,Indiranagar,Casual Dining,"Chettinad, South Indian",750,Delivery
Yes,Yes,4.1/5,452,Church Street,Casual Dining,North Indian,600,Delivery
Yes,No,3.9/5,85,Indiranagar,Cafe,"Fast Food, Cafe",450,Delivery
Yes,No,3.8/5,83,Indiranagar,"Dessert Parlor, Beverage Shop","Beverages, Juices, Ice Cream",100,Delivery
Yes,No,NEW,0,RT Nagar,Quick Bites,"North Indian, Chinese",400,Delivery
Yes,No,2.6/5,125,Indiranagar,Quick Bites,"Chinese, Tibetan",500,Delivery
Yes,No,,0,Kammanahalli,Quick Bites,"Chinese, South Indian, Biryani",300,Delivery
Yes,No,4.0/5,78,Commercial Street,"Quick Bites, Beverage Shop","Fast Food, Pizza, Rolls, Beverages, Juices",350,Delivery
Yes,No,3.9/5,117,Ulsoor,Casual Dining,Chettinad,600,Delivery
Yes,Yes,NEW,0,Indiranagar,Casual Dining,"Continental, Italian, North Indian, Chinese","1,000",Delivery
Yes,Yes,4.3/5,500,Lavelle Road,"Casual Dining, Bar","Chinese, Momos","1,300",Delivery
Yes,Yes,4.6/5,1219,St. Marks Road,"Casual Dining, Bar","Asian, Japanese, Korean, Indonesian, Malaysian, Singaporean","1,700",Delivery
Yes,No,3.7/5,17,Indiranagar,Casual Dining,"North Indian, Chinese, Biryani",500,Delivery
Yes,No,,0,Church Street,Quick Bites,"Pizza, Burger, Coffee, Beverages",500,Delivery
Yes,No,4.2/5,131,Brigade Road,Dessert Parlor,"Ice Cream, Desserts",180,Delivery
Yes,Yes,4.2/5,475,Cunningham Road,Casual Dining,"North Indian, Chinese, Seafood","1,700",Delivery
Yes,No,2.8/5,296,Commercial Street,Casual Dining,Biryani,600,Delivery
Yes,No,3.7/5,29,Ulsoor,Bakery,"Bakery, Fast Food",300,Delivery
Yes,Yes,3.9/5,1362,MG Road,Fine Dining,North Indian,"2,100",Delivery
Yes,No,3.9/5,218,Kammanahalli,Casual Dining,"Andhra, North Indian, Chinese",600,Delivery
Yes,No,3.9/5,255,Frazer Town,Casual Dining,"Mediterranean, Arabian, Lebanese",700,Delivery
Yes,No,3.2/5,46,Ulsoor,Quick Bites,North Indian,300,Delivery
Yes,No,3.9/5,149,Frazer Town,Dessert Parlor,"Ice Cream, Desserts",500,Delivery
Yes,No,4.0/5,719,Kammanahalli,Cafe,"Cafe, Burger, Italian, Salad","1,000",Delivery
Yes,No,3.8/5,201,HBR Layout,Casual Dining,"Chinese, Momos",550,Delivery
Yes,No,4.3/5,904,Ulsoor,Casual Dining,Japanese,"2,000",Delivery
Yes,No,3.4/5,63,Banaswadi,Casual Dining,"North Indian, Chinese, Andhra",500,Delivery
Yes,No,4.2/5,133,Cunningham Road,Casual Dining,"Awadhi, Bengali, North Indian","1,500",Delivery
Yes,No,3.2/5,35,Shivajinagar,Quick Bites,"North Indian, Chinese",350,Delivery
Yes,No,3.7/5,87,Banaswadi,Quick Bites,Chinese,450,Delivery
Yes,No,4.3/5,7546,Church Street,Lounge,"American, North Indian, Chinese, Finger Food, Momos","1,500",Delivery
Yes,Yes,4.0/5,1022,Brigade Road,Casual Dining,"North Indian, Mughlai",700,Delivery
Yes,No,3.0/5,16,Kammanahalli,Casual Dining,"Thai, Vietnamese, Indonesian, Asian",550,Delivery
Yes,No,3.7/5,288,Frazer Town,Quick Bites,"Pizza, Fast Food",400,Delivery
Yes,No,3.5/5,43,Ulsoor,Beverage Shop,"Beverages, Ice Cream",150,Delivery
Yes,No,4.1/5,402,Cunningham Road,Casual Dining,"North Indian, Mughlai, Arabian, Chinese",750,Delivery
Yes,No,4.0/5,1098,Ulsoor,Casual Dining,"Kerala, Seafood","1,300",Delivery
Yes,Yes,4.3/5,688,Indiranagar,Casual Dining,"Mangalorean, Seafood","1,000",Delivery
Yes,No,3.0/5,566,Indiranagar,Casual Dining,"South Indian, North Indian, Chinese, Street Food, Fast Food",400,Delivery
Yes,No,3.6/5,20,Kammanahalli,Casual Dining,"Chettinad, Mangalorean, South Indian, North Indian",600,Delivery
Yes,Yes,4.2/5,2924,Church Street,Casual Dining,"Italian, American, Steak, Continental, BBQ, Salad","1,000",Delivery
Yes,No,4.3/5,1380,Frazer Town,Casual Dining,"Mangalorean, Seafood",700,Delivery
