_id,online_order,book_table,rate,votes,location,rest_type,cuisines,cost_for_2,type
65931bfed4b9eb96be5f27e6,Yes,No,3.1 /5,40,BTM,Quick Bites,"North Indian, Chinese",250,Dine-out
65931bfed4b9eb96be5f48c2,No,No,,0,Malleshwaram,Quick Bites,"Pizza, Fast Food",250,Dine-out
65931bfed4b9eb96be5eda45,No,No,3.4/5,14,Richmond Road,Bakery,Bakery,200,Delivery
65931bfed4b9eb96be5ef2d0,No,No,,0,Indiranagar,Quick Bites,"Biryani, Kebab",200,Delivery
65931bfed4b9eb96be5edcca,Yes,Yes,4.4/5,1842,Lavelle Road,Casual Dining,"Italian, Salad","1,500",Dine-out
65931bfed4b9eb96be5edb2c,Yes,No,3.6/5,79,Residency Road,Quick Bites,"South Indian, Biryani",500,Delivery
65931bfed4b9eb96be5f1e80,Yes,No,2.6 /5,175,BTM,Casual Dining,"Andhra, Chinese, Biryani",450,Delivery
65931bfed4b9eb96be5ee74c,Yes,No,2.9/5,48,Kammanahalli,Quick Bites,"Chinese, Fast Food, Momos",250,Delivery
65931bfed4b9eb96be5f4ab8,No,No,3.1 /5,11,Marathahalli,Delivery,"North Indian, Chinese, Continental, Italian, South Indian",800,Delivery
65931bfed4b9eb96be5eb167,No,No,3.8/5,69,Bannerghatta Road,"Cafe, Bakery","Cafe, Bakery",700,Delivery
65931bfed4b9eb96be5eecfb,Yes,No,,0,Bellandur,Delivery,"North Indian, Mughlai, Chinese, Kebab, Biryani",550,Delivery
65931bfed4b9eb96be5f370b,Yes,No,3.7 /5,70,Koramangala 6th Block,"Beverage Shop, Quick Bites","Beverages, Juices, Fast Food",250,Delivery
65931bfed4b9eb96be5efe28,No,No,,0,Jayanagar,Casual Dining,"North Indian, Chinese",600,Dine-out
65931bfed4b9eb96be5ed026,Yes,No,2.7/5,85,JP Nagar,Cafe,"Cafe, Pizza, Fast Food, Beverages",500,Delivery
65931bfed4b9eb96be5f0b37,No,No,,0,Banaswadi,Quick Bites,Fast Food,300,Delivery
65931bfed4b9eb96be5eb810,Yes,No,NEW,0,Basavanagudi,Bakery,"Bakery, Desserts",500,Desserts
65931bfed4b9eb96be5eef62,No,No,NEW,0,HSR,Quick Bites,Chinese,200,Dine-out
65931bfed4b9eb96be5f0a7a,Yes,No,3.5/5,13,Kammanahalli,"Takeaway, Delivery","South Indian, Biryani",300,Delivery
65931bfed4b9eb96be5f41d5,Yes,No,4.5 /5,221,Brigade Road,Food Court,"Desserts, Beverages",450,Desserts
65931bfed4b9eb96be5ed1bf,Yes,No,3.8/5,75,Jayanagar,Quick Bites,"Kerala, North Indian, Chinese",300,Delivery
65931bfed4b9eb96be5effc9,No,No,3.6 /5,22,BTM,Cafe,"Cafe, Fast Food",500,Dine-out
65931bfed4b9eb96be5eebbf,Yes,No,3.9/5,163,HSR,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300,Delivery
65931bfed4b9eb96be5f568f,No,No,,0,Cunningham Road,Cafe,Cafe,"1,000",Dine-out
65931bfed4b9eb96be5f5c39,No,No,NEW,0,Jeevan Bhima Nagar,"Cafe, Quick Bites","Cafe, Rolls, Fast Food",200,Delivery
65931bfed4b9eb96be5ef8c0,Yes,No,3.8/5,23,BTM,Quick Bites,"Chinese, Fast Food, Asian, Beverages, Nepalese, Tibetan",300,Delivery
65931bfed4b9eb96be5f4f25,No,No,,0,Marathahalli,Quick Bites,"North Indian, Chinese",500,Dine-out
65931bfed4b9eb96be5eba06,No,No,3.3/5,4,Jayanagar,Quick Bites,South Indian,250,Dine-out
65931bfed4b9eb96be5edf5a,Yes,No,4.0/5,1205,Brigade Road,"Bar, Quick Bites","Continental, Chinese","2,000",Drinks & nightlife
65931bfed4b9eb96be5f5232,Yes,No,3.5 /5,10,Frazer Town,"Takeaway, Delivery","Desserts, Beverages",300,Delivery
65931bfed4b9eb96be5ee097,Yes,No,3.6/5,163,Electronic City,Casual Dining,"North Indian, Chinese, Kerala",500,Delivery
65931bfed4b9eb96be5f1394,Yes,No,3.6/5,42,BTM,Cafe,"Cafe, Continental, Fast Food",600,Cafes
65931bfed4b9eb96be5f577a,Yes,No,3.9 /5,17,Sahakara Nagar,"Beverage Shop, Dessert Parlor","Desserts, Beverages, Ice Cream",400,Delivery
65931bfed4b9eb96be5ee346,No,No,3.5/5,23,Electronic City,Casual Dining,"North Indian, Chinese, Mangalorean, Andhra","1,200",Dine-out
65931bfed4b9eb96be5f00e1,Yes,No,4.1/5,52,BTM,"Takeaway, Delivery","Seafood, BBQ, Biryani",250,Delivery
65931bfed4b9eb96be5f58a8,No,No,3.1 /5,9,New BEL Road,Dessert Parlor,Desserts,300,Delivery
65931bfed4b9eb96be5ef4f8,No,Yes,3.8/5,263,Indiranagar,"Pub, Casual Dining","Continental, South Indian, Mangalorean, Chinese, North Indian, Seafood","1,000",Dine-out
65931bfed4b9eb96be5eccf8,Yes,No,3.9/5,45,HSR,Dessert Parlor,"Beverages, Bubble Tea, Desserts",400,Delivery
65931bfed4b9eb96be5f38d6,No,No,,0,Koramangala 8th Block,Quick Bites,"Chinese, North Indian, South Indian, Hyderabadi",250,Delivery
65931bfed4b9eb96be5f5982,Yes,No,3.5 /5,226,New BEL Road,Quick Bites,Kerala,300,Dine-out
65931bfed4b9eb96be5f0a8c,Yes,No,3.7/5,83,Kalyan Nagar,Casual Dining,Chettinad,600,Delivery
65931bfed4b9eb96be5f68cb,No,No,4.0 /5,109,Richmond Road,Quick Bites,"Andhra, South Indian",300,Dine-out
65931bfed4b9eb96be5f658f,No,Yes,4.1 /5,105,Residency Road,Pub,"Continental, Chinese, Fast Food","1,000",Delivery
65931bfed4b9eb96be5f2fc4,Yes,No,3.5 /5,34,Koramangala 6th Block,Sweet Shop,"Mithai, Fast Food",250,Dine-out
65931bfed4b9eb96be5ecb5c,Yes,No,NEW,0,Whitefield,Quick Bites,"Chinese, Continental",250,Dine-out
65931bfed4b9eb96be5f24f9,Yes,Yes,4.4 /5,3674,Koramangala 5th Block,Casual Dining,"Chinese, Thai, Asian, Malaysian, Vietnamese, Sri Lankan, Burmese","1,400",Dine-out
65931bfed4b9eb96be5ee5d9,Yes,No,,0,Banaswadi,Confectionery,Desserts,200,Delivery
65931bfed4b9eb96be5f7111,Yes,No,3.1 /5,18,Whitefield,Delivery,North Indian,300,Delivery
65931bfed4b9eb96be5ebbb4,Yes,Yes,4.2/5,7193,Sarjapur Road,"Microbrewery, Pub","Continental, Italian, North Indian","1,400",Delivery
65931bfed4b9eb96be5f5e28,No,No,3.7 /5,45,Jeevan Bhima Nagar,Casual Dining,South Indian,500,Dine-out
65931bfed4b9eb96be5ee998,Yes,No,4.5/5,1181,BTM,Delivery,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",500,Delivery
65931bfed4b9eb96be5f5ca8,No,No,,0,Domlur,Quick Bites,"Biryani, North Indian",200,Delivery
65931bfed4b9eb96be5ebeda,Yes,Yes,4.1/5,3020,Bellandur,Casual Dining,"North Indian, Mughlai, Mediterranean, Iranian","1,000",Drinks & nightlife
65931bfed4b9eb96be5ed2d2,No,No,,0,HSR,Delivery,North Indian,450,Delivery
65931bfed4b9eb96be5f1649,Yes,No,3.9/5,79,Koramangala 7th Block,Dessert Parlor,"Ice Cream, Desserts",800,Delivery
65931bfed4b9eb96be5f0e86,No,No,4.0/5,161,Kammanahalli,Casual Dining,"Biryani, North Indian, Chinese",600,Delivery
65931bfed4b9eb96be5eea60,No,No,3.5/5,5,HSR,Quick Bites,Chinese,300,Delivery
65931bfed4b9eb96be5f594c,No,No,,0,New BEL Road,Casual Dining,"South Indian, North Indian",500,Dine-out
65931bfed4b9eb96be5f2506,Yes,Yes,4.4 /5,387,Koramangala 5th Block,"Casual Dining, Bar","Mediterranean, Pizza, Italian, Beverages","1,500",Dine-out
65931bfed4b9eb96be5ee0bd,Yes,No,3.4/5,36,Electronic City,Bakery,"Bakery, Desserts",600,Delivery
65931bfed4b9eb96be5f26b8,Yes,No,NEW,0,Ejipura,Quick Bites,"North Indian, Fast Food",500,Dine-out
65931bfed4b9eb96be5ec709,No,No,4.1/5,701,Brookefield,Cafe,"Cafe, Continental, American, Italian",600,Delivery
65931bfed4b9eb96be5f0f50,Yes,No,3.8/5,26,Kalyan Nagar,Quick Bites,"Street Food, Beverages, Fast Food",250,Delivery
65931bfed4b9eb96be5ef464,No,No,4.7/5,14956,Indiranagar,Microbrewery,"Italian, American, Pizza","1,500",Dine-out
65931bfed4b9eb96be5f1bf5,No,No,4.0 /5,203,Koramangala 6th Block,"Food Court, Quick Bites","Bengali, Bihari",350,Dine-out
65931bfed4b9eb96be5f3220,Yes,No,4.2 /5,470,BTM,Quick Bites,"Kerala, South Indian, Chinese",400,Dine-out
65931bfed4b9eb96be5f5a64,Yes,No,4.5 /5,132,Indiranagar,Cafe,"Cafe, Tea, Beverages, Fast Food",200,Cafes
65931bfed4b9eb96be5f5567,No,No,3.6 /5,11,Shivajinagar,Bar,"South Indian, North Indian",700,Dine-out
65931bfed4b9eb96be5f5136,Yes,No,3.9 /5,107,Lavelle Road,Quick Bites,"Healthy Food, Sandwich, Salad",500,Delivery
65931bfed4b9eb96be5f099d,Yes,No,3.8/5,32,Kalyan Nagar,Dessert Parlor,"Desserts, Beverages",350,Delivery
65931bfed4b9eb96be5ed68b,Yes,No,3.7/5,111,Bannerghatta Road,Casual Dining,"Andhra, Biryani",800,Dine-out
65931bfed4b9eb96be5eb09d,Yes,No,3.7/5,71,BTM,"Takeaway, Delivery",Andhra,300,Delivery
65931bfed4b9eb96be5ef6b7,No,No,3.4/5,6,Old Madras Road,Quick Bites,"North Indian, Chinese",250,Dine-out
65931bfed4b9eb96be5f2fb4,Yes,No,4.0 /5,783,Koramangala 6th Block,Casual Dining,"Italian, Pizza, Fast Food, Salad",750,Dine-out
65931bfed4b9eb96be5f116a,No,No,,0,Kammanahalli,Quick Bites,North Eastern,400,Dine-out
65931bfed4b9eb96be5f4a28,Yes,No,3.7 /5,17,"Varthur Main Road, Whitefield","Takeaway, Delivery","Juices, Beverages, Ice Cream",150,Delivery
65931bfed4b9eb96be5f49ec,Yes,No,2.8 /5,67,Marathahalli,Cafe,"Cafe, Tea, Beverages",300,Cafes
65931bfed4b9eb96be5efdc9,Yes,No,4.0 /5,692,Jayanagar,Casual Dining,"North Indian, Mughlai, Chinese, Seafood",650,Dine-out
65931bfed4b9eb96be5f44d0,No,Yes,3.7 /5,41,Majestic,Casual Dining,"North Indian, Chinese, South Indian",700,Dine-out
65931bfed4b9eb96be5ed3cd,Yes,No,3.9 /5,72,Bannerghatta Road,Dessert Parlor,Desserts,350,Desserts
65931bfed4b9eb96be5ef812,Yes,No,2.7/5,159,JP Nagar,Quick Bites,Pizza,750,Delivery
65931bfed4b9eb96be5f23e6,No,No,NEW,0,BTM,Cafe,"Cafe, Fast Food",200,Delivery
65931bfed4b9eb96be5f52e1,Yes,No,3.6 /5,79,Residency Road,Quick Bites,"South Indian, Biryani",500,Delivery
65931bfed4b9eb96be5edb9c,Yes,No,,0,Ulsoor,Quick Bites,South Indian,200,Delivery
65931bfed4b9eb96be5f64fb,Yes,No,3.9 /5,113,Shanti Nagar,Quick Bites,"Fast Food, North Indian, Rolls",250,Delivery
65931bfed4b9eb96be5f4a86,Yes,No,3.1 /5,93,Marathahalli,Quick Bites,"North Indian, Chinese, Rolls",300,Delivery
65931bfed4b9eb96be5ec23c,Yes,No,3.5/5,140,Church Street,Casual Dining,North Indian,600,Delivery
65931bfed4b9eb96be5f4b17,No,No,3.0 /5,10,Marathahalli,Delivery,"North Indian, Biryani",500,Delivery
65931bfed4b9eb96be5f0f9e,No,No,,0,Kammanahalli,"Takeaway, Delivery","Fast Food, Desserts",400,Delivery
65931bfed4b9eb96be5f71b8,No,No,3.4 /5,7,Whitefield,Casual Dining,"North Indian, South Indian",800,Delivery
65931bfed4b9eb96be5f598d,No,No,3.7 /5,15,New BEL Road,Quick Bites,North Indian,200,Dine-out
65931bfed4b9eb96be5f60ff,No,Yes,3.9 /5,620,Rajajinagar,Casual Dining,"North Indian, Chinese, Continental","1,000",Delivery
65931bfed4b9eb96be5eacae,Yes,No,3.7/5,323,Jayanagar,Casual Dining,"Chinese, Thai, Momos",850,Delivery
65931bfed4b9eb96be5f2d5b,No,No,,0,Koramangala 1st Block,Quick Bites,"North Indian, Chinese",300,Delivery
65931bfed4b9eb96be5f27cf,No,No,4.0 /5,115,BTM,Casual Dining,"Continental, Steak, Fast Food","1,000",Dine-out
65931bfed4b9eb96be5ecde0,Yes,No,3.9/5,237,Koramangala 5th Block,Quick Bites,"South Indian, Beverages",200,Delivery
65931bfed4b9eb96be5f3c55,No,No,,0,Koramangala 5th Block,Quick Bites,"Fast Food, Juices",200,Dine-out
65931bfed4b9eb96be5f214b,Yes,No,4.1 /5,57,Koramangala 1st Block,"Beverage Shop, Quick Bites","Juices, Fast Food",200,Delivery
65931bfed4b9eb96be5ed05f,Yes,Yes,4.3/5,2563,Koramangala 5th Block,Bar,"Continental, Finger Food, North Indian, Chinese","1,200",Delivery
65931bfed4b9eb96be5f5bd9,Yes,No,3.7 /5,24,Indiranagar,"Takeaway, Delivery","Continental, Healthy Food, Beverages",400,Delivery
65931bfed4b9eb96be5ed33f,Yes,No,,0,HSR,"Takeaway, Delivery","Burger, Fast Food, Finger Food",300,Delivery
65931bfed4b9eb96be5f2061,Yes,No,3.9 /5,231,Koramangala 5th Block,Dessert Parlor,"Ice Cream, Desserts",500,Delivery
65931bfed4b9eb96be5f2ea7,No,No,3.4 /5,21,Ejipura,Quick Bites,"Kerala, South Indian, Chinese",350,Delivery
65931bfed4b9eb96be5eebae,Yes,No,4.0/5,157,HSR,Bakery,"Bakery, Desserts",300,Delivery
65931bfed4b9eb96be5f5186,Yes,No,3.9 /5,87,Indiranagar,Cafe,"Cafe, Fast Food, Chinese",450,Delivery
65931bfed4b9eb96be5edc43,No,No,3.4/5,27,MG Road,Quick Bites,"North Indian, Mithai",300,Desserts
65931bfed4b9eb96be5f2f5c,No,No,,0,Koramangala 8th Block,Dessert Parlor,"Desserts, Ice Cream, Beverages",,Desserts
65931bfed4b9eb96be5f4b57,No,No,NEW,0,Marathahalli,Quick Bites,"North Indian, Chinese",200,Delivery
65931bfed4b9eb96be5ef73f,No,Yes,4.1/5,334,MG Road,"Casual Dining, Bar","Kerala, Seafood","1,800",Pubs and bars
65931bfed4b9eb96be5f5562,No,No,3.7 /5,125,Brigade Road,Casual Dining,"Chinese, Momos",600,Dine-out
65931bfed4b9eb96be5ee8a4,Yes,No,3.9/5,87,Ulsoor,Casual Dining,"North Indian, Chinese, Fast Food, Street Food",500,Dine-out
65931bfed4b9eb96be5f4645,Yes,No,3.7 /5,43,Race Course Road,Casual Dining,"Chinese, South Indian, North Indian",900,Delivery
65931bfed4b9eb96be5ec846,Yes,No,3.4/5,23,Brookefield,"Takeaway, Delivery","Pizza, Fast Food",200,Delivery
65931bfed4b9eb96be5f29fb,Yes,No,3.9 /5,52,BTM,Quick Bites,"South Indian, North Indian, Chinese",300,Delivery
65931bfed4b9eb96be5ee03c,Yes,No,2.7/5,158,Electronic City,Quick Bites,"Kerala, South Indian, North Indian, Chinese, Beverages",500,Delivery
65931bfed4b9eb96be5eddb6,No,No,,0,Shivajinagar,Mess,South Indian,100,Dine-out
65931bfed4b9eb96be5f0e53,Yes,No,3.4/5,7,Nagawara,Quick Bites,"North Indian, Chinese, Rolls",600,Delivery
65931bfed4b9eb96be5f4e3e,No,No,3.4 /5,20,Marathahalli,"Pub, Casual Dining","North Indian, Chinese","1,200",Dine-out
65931bfed4b9eb96be5f65ad,Yes,No,3.4 /5,8,Ulsoor,Quick Bites,"Asian, Chinese, Momos, Fast Food, Indonesian, Korean",500,Delivery
65931bfed4b9eb96be5f0edd,Yes,No,2.9/5,28,Rammurthy Nagar,Beverage Shop,"Beverages, Desserts",200,Delivery
65931bfed4b9eb96be5f70b2,No,No,3.3 /5,12,Whitefield,Kiosk,"Burger, Salad, Continental",400,Delivery
65931bfed4b9eb96be5f1fae,Yes,Yes,4.2 /5,296,Koramangala 5th Block,Casual Dining,"Seafood, Mangalorean, Chinese",800,Delivery
65931bfed4b9eb96be5ec28e,Yes,No,4.0/5,122,Church Street,"Beverage Shop, Quick Bites","Beverages, Fast Food",400,Desserts
65931bfed4b9eb96be5f1c57,No,No,,0,Ejipura,Quick Bites,South Indian,200,Dine-out
65931bfed4b9eb96be5ed0b5,No,No,,0,BTM,Quick Bites,"South Indian, Chinese, North Indian",250,Delivery
65931bfed4b9eb96be5f5209,Yes,No,3.5 /5,26,Indiranagar,Quick Bites,"North Indian, Chinese, South Indian, Seafood",250,Delivery
65931bfed4b9eb96be5f7462,Yes,No,2.7 /5,263,Whitefield,Food Court,Pizza,500,Dine-out
65931bfed4b9eb96be5f4cd6,No,No,3.3 /5,13,Marathahalli,Quick Bites,"North Indian, Beverages, Fast Food, Street Food",250,Delivery
65931bfed4b9eb96be5f28d6,No,Yes,4.1 /5,819,Koramangala 4th Block,"Casual Dining, Bar","Andhra, Biryani, North Indian, Chinese",800,Pubs and bars
65931bfed4b9eb96be5f16fa,Yes,No,3.1/5,7,Koramangala 5th Block,Quick Bites,"Biryani, Mughlai",500,Delivery
65931bfed4b9eb96be5f38bc,No,No,3.8 /5,67,BTM,Quick Bites,"North Indian, Chinese",400,Delivery
65931bfed4b9eb96be5ece4a,Yes,Yes,3.9/5,885,JP Nagar,Casual Dining,North Indian,900,Delivery
65931bfed4b9eb96be5ed01d,Yes,No,3.4/5,5,HSR,Quick Bites,"Chinese, Seafood",400,Delivery
65931bfed4b9eb96be5ec1f2,No,No,3.6/5,7,MG Road,"Cafe, Quick Bites","Cafe, Fast Food",200,Delivery
65931bfed4b9eb96be5ecb2a,No,No,3.4/5,9,Whitefield,Quick Bites,Chinese,400,Dine-out
65931bfed4b9eb96be5eda49,No,No,3.8/5,22,MG Road,"Beverage Shop, Quick Bites","Beverages, Cafe, Juices, Fast Food",350,Delivery
65931bfed4b9eb96be5f3521,Yes,No,3.5 /5,90,Jayanagar,Casual Dining,"Seafood, Biryani, South Indian, North Indian, Chinese",500,Delivery
65931bfed4b9eb96be5f6e61,Yes,No,2.7 /5,82,Bellandur,Casual Dining,"Arabian, North Indian, Seafood, Chinese, Biryani",800,Dine-out
65931bfed4b9eb96be5ecb4c,Yes,No,,0,Marathahalli,"Beverage Shop, Quick Bites","Beverages, Fast Food",300,Dine-out
65931bfed4b9eb96be5ee26c,No,No,,0,Electronic City,Cafe,"Cafe, Fast Food",400,Desserts
65931bfed4b9eb96be5f0b11,Yes,No,4.0/5,50,Hennur,"Bakery, Quick Bites","Bakery, Fast Food",250,Delivery
65931bfed4b9eb96be5efbdf,No,No,3.4/5,9,JP Nagar,Casual Dining,"Seafood, Chinese, South Indian, North Indian",500,Delivery
65931bfed4b9eb96be5f4651,Yes,No,2.9 /5,57,Malleshwaram,Quick Bites,"Pizza, Italian",600,Delivery
65931bfed4b9eb96be5ebd0f,Yes,No,4.2/5,213,Bellandur,Dessert Parlor,"Ice Cream, Desserts, Beverages, Sandwich",400,Desserts
65931bfed4b9eb96be5ede58,No,No,3.2/5,4,Shivajinagar,Quick Bites,South Indian,200,Dine-out
65931bfed4b9eb96be5f35bb,Yes,No,3.4 /5,95,Koramangala 5th Block,Quick Bites,"Arabian, Fast Food",200,Delivery
65931bfed4b9eb96be5ed607,Yes,Yes,4.4/5,2493,Bannerghatta Road,Pub,"North Indian, Italian",900,Dine-out
65931bfed4b9eb96be5ec7d1,No,No,3.4/5,6,Whitefield,Casual Dining,North Indian,600,Delivery
65931bfed4b9eb96be5eacd6,Yes,No,3.4/5,7,Banashankari,Quick Bites,"North Indian, Chinese",250,Delivery
65931bfed4b9eb96be5ec6f2,No,No,,0,Brookefield,Delivery,"North Indian, South Indian",400,Delivery
65931bfed4b9eb96be5f1aee,No,Yes,3.9 /5,283,Koramangala 7th Block,"Casual Dining, Bar","Continental, Parsi, Chinese, North Indian, Italian, Steak","1,000",Dine-out
65931bfed4b9eb96be5f7425,Yes,No,3.8 /5,40,Whitefield,Quick Bites,Biryani,250,Dine-out
65931bfed4b9eb96be5f0cb8,No,No,NEW,0,Kammanahalli,Cafe,"Cafe, Turkish",400,Dine-out
65931bfed4b9eb96be5f5719,Yes,Yes,4.5 /5,1255,St. Marks Road,"Casual Dining, Bar","Asian, Japanese, Korean, Indonesian, Malaysian, Singaporean","1,700",Pubs and bars
65931bfed4b9eb96be5eb379,No,No,,0,Bannerghatta Road,Cafe,"Cafe, Healthy Food",400,Dine-out
65931bfed4b9eb96be5ee130,No,No,4.0/5,134,Electronic City,"Cafe, Dessert Parlor","Cafe, Desserts",400,Delivery
65931bfed4b9eb96be5f4688,Yes,No,3.7 /5,114,New BEL Road,Quick Bites,Fast Food,400,Delivery
65931bfed4b9eb96be5eef6b,Yes,Yes,4.4/5,190,Koramangala 3rd Block,Cafe,Cafe,"1,000",Dine-out
65931bfed4b9eb96be5f38be,No,No,2.4 /5,221,BTM,Quick Bites,North Indian,550,Delivery
65931bfed4b9eb96be5f29bc,Yes,No,3.9 /5,193,BTM,Quick Bites,"Biryani, North Indian, Kebab",600,Delivery
65931bfed4b9eb96be5f5dc9,Yes,No,2.8 /5,420,Old Airport Road,Casual Dining,"Mughlai, North Indian, Chinese",700,Dine-out
65931bfed4b9eb96be5ec90b,Yes,No,3.9/5,62,Whitefield,Quick Bites,"North Indian, Chinese",200,Delivery
65931bfed4b9eb96be5f7094,Yes,No,3.7 /5,92,Whitefield,Quick Bites,"Biryani, Chinese, Fast Food",400,Delivery
65931bfed4b9eb96be5f160e,Yes,No,3.6/5,74,Koramangala 5th Block,Quick Bites,"Burger, Fast Food, Beverages",600,Delivery
65931bfed4b9eb96be5ecc6d,Yes,No,4.1/5,497,Koramangala 4th Block,Quick Bites,"Italian, Pizza, Beverages",600,Delivery
65931bfed4b9eb96be5ef94f,No,No,4.3/5,142,Jayanagar,"Sweet Shop, Quick Bites","Mithai, South Indian",200,Delivery
65931bfed4b9eb96be5f3e6c,No,No,3.0 /5,16,BTM,Bar,North Indian,"1,000",Drinks & nightlife
65931bfed4b9eb96be5f3c89,Yes,No,4.0 /5,579,Koramangala 1st Block,Casual Dining,"Bengali, Seafood",600,Dine-out
65931bfed4b9eb96be5ee879,Yes,Yes,4.1/5,617,Cunningham Road,Casual Dining,"Andhra, Biryani, Chinese, North Indian, Seafood, South Indian","1,100",Dine-out
65931bfed4b9eb96be5ef269,Yes,No,4.1/5,566,Indiranagar,Quick Bites,"Fast Food, Bengali, Rolls",400,Delivery
65931bfed4b9eb96be5f6a9b,Yes,No,3.9 /5,79,Sarjapur Road,Quick Bites,"Burger, Fast Food",500,Delivery
65931bfed4b9eb96be5efe6a,Yes,No,3.6 /5,21,Jayanagar,Quick Bites,"Fast Food, Burger",150,Dine-out
65931bfed4b9eb96be5eac2e,Yes,No,3.9/5,169,Kumaraswamy Layout,Beverage Shop,"Beverages, Juices, Ice Cream",150,Delivery
65931bfed4b9eb96be5f0507,No,No,,0,Bannerghatta Road,Delivery,South Indian,250,Delivery
65931bfed4b9eb96be5f05aa,Yes,No,,0,Bannerghatta Road,Bakery,"Bakery, Desserts",400,Desserts
65931bfed4b9eb96be5f4b6a,Yes,No,3.6 /5,66,Marathahalli,Quick Bites,"North Indian, Biryani",600,Delivery
65931bfed4b9eb96be5f40b4,Yes,No,3.4 /5,7,MG Road,"Takeaway, Delivery","Continental, Thai, North Indian","1,600",Delivery
65931bfed4b9eb96be5ecabc,No,No,3.9/5,75,Whitefield,"Fine Dining, Bar",Finger Food,"2,000",Dine-out
65931bfed4b9eb96be5efe44,Yes,No,3.7 /5,23,Jayanagar,Quick Bites,"Maharashtrian, Fast Food, Street Food, Sandwich",200,Dine-out
65931bfed4b9eb96be5f6402,Yes,Yes,4.2 /5,4752,Church Street,Casual Dining,"North Indian, Chinese, BBQ","1,500",Buffet
65931bfed4b9eb96be5eacf2,Yes,No,3.0/5,175,Kumaraswamy Layout,Quick Bites,"Chinese, North Indian",400,Delivery
65931bfed4b9eb96be5f1770,Yes,Yes,4.2/5,767,Koramangala 4th Block,Casual Dining,"North Indian, Chinese, Seafood","1,700",Delivery
65931bfed4b9eb96be5f430c,Yes,No,3.7 /5,43,Race Course Road,Casual Dining,"Chinese, South Indian, North Indian",900,Dine-out
65931bfed4b9eb96be5f02f7,Yes,No,4.3/5,325,Jayanagar,Casual Dining,South Indian,400,Delivery
65931bfed4b9eb96be5ec91f,Yes,No,,0,Marathahalli,Casual Dining,North Indian,700,Delivery
65931bfed4b9eb96be5f4151,No,No,,0,Shanti Nagar,Quick Bites,"North Indian, Chinese, Biryani",300,Delivery
65931bfed4b9eb96be5ef94e,Yes,No,3.2/5,49,Koramangala 5th Block,Quick Bites,"Arabian, Sandwich, Rolls, Burger",300,Delivery
65931bfed4b9eb96be5f3a87,No,No,4.1 /5,172,Koramangala 7th Block,Cafe,"Cafe, Beverages, Healthy Food, Juices",650,Dine-out
65931bfed4b9eb96be5ecef9,Yes,Yes,4.0/5,235,Koramangala 5th Block,Casual Dining,"Mughlai, North Indian",800,Delivery
65931bfed4b9eb96be5f4882,No,No,4.0 /5,212,Malleshwaram,Quick Bites,North Indian,250,Dine-out
65931bfed4b9eb96be5ec5e5,No,Yes,3.7/5,43,Race Course Road,Bar,"Finger Food, North Indian","2,800",Pubs and bars
65931bfed4b9eb96be5f0d3a,Yes,No,NEW,0,Nagawara,Quick Bites,"Chinese, North Indian, Mughlai",400,Dine-out
65931bfed4b9eb96be5ebe54,Yes,Yes,4.4/5,4099,Sarjapur Road,"Casual Dining, Bar","Seafood, Goan, North Indian, Continental, Asian","1,400",Dine-out
65931bfed4b9eb96be5ed19d,Yes,Yes,3.9/5,202,HSR,Cafe,"Cafe, North Indian, Fast Food",500,Delivery
65931bfed4b9eb96be5eee3f,Yes,No,3.5/5,166,HSR,Casual Dining,"Andhra, North Indian, Chinese",700,Dine-out
65931bfed4b9eb96be5eef03,No,No,,0,HSR,Quick Bites,"North Indian, Chinese",400,Dine-out
65931bfed4b9eb96be5f3f9e,Yes,No,3.9 /5,149,Frazer Town,Dessert Parlor,"Ice Cream, Desserts",500,Delivery
65931bfed4b9eb96be5f0aef,No,No,,0,HBR Layout,Quick Bites,"North Indian, Biryani",300,Delivery
65931bfed4b9eb96be5f3f8e,Yes,No,3.8 /5,18,MG Road,Quick Bites,South Indian,200,Delivery
65931bfed4b9eb96be5ec97a,Yes,No,NEW,0,"ITPL Main Road, Whitefield","Takeaway, Delivery","North Indian, Chinese, Fast Food, Street Food, Mithai",350,Delivery
65931bfed4b9eb96be5edd56,No,No,4.1/5,28,Residency Road,Casual Dining,Beverages,"2,000",Dine-out
65931bfed4b9eb96be5f1cbf,No,No,3.6 /5,39,BTM,Quick Bites,"North Indian, Chinese",400,Dine-out
65931bfed4b9eb96be5eafde,Yes,Yes,3.6/5,225,Bannerghatta Road,Casual Dining,"Biryani, North Indian, Chinese",700,Delivery
65931bfed4b9eb96be5ec832,Yes,No,3.9/5,84,Whitefield,Quick Bites,"South Indian, North Indian, Chinese",250,Delivery
65931bfed4b9eb96be5f3825,Yes,No,3.4 /5,29,BTM,Casual Dining,North Indian,750,Delivery
65931bfed4b9eb96be5efbbc,Yes,No,,0,JP Nagar,Quick Bites,Andhra,400,Delivery
65931bfed4b9eb96be5f3fbf,Yes,No,4.2 /5,132,Brigade Road,Dessert Parlor,Ice Cream,180,Delivery
65931bfed4b9eb96be5f1575,Yes,No,3.8/5,265,Koramangala 7th Block,Casual Dining,"North Eastern, Chinese",650,Delivery
